building_category,building_code,heating_systems,year,heating_system_share
sports,TEK30,DH,2023,0.3182453573763764
office,TEK30,DH,2023,0.3182453573763764
nursing_home,TEK30,DH - Bio,2023,0.000214225
office,TEK30,HP Central heating - Gas,2023,7.196160696758601e-05
school,TEK30,HP Central heating - Gas,2023,7.196160696758601e-05
school,TEK30,HP Central heating - Electric boiler,2023,0.364043512
school,TEK30,HP Central heating - Bio,2023,0.000193627
school,TEK30,HP - Electricity,2023,0.1632849356867121
school,TEK30,Gas,2023,0.001656504
school,TEK30,Electricity - Bio,2023,0.021674095
school,TEK30,Electricity,2023,0.07068189
school,TEK30,Electric boiler - Solar,2023,0.000249379
school,TEK30,Electric boiler,2023,0.059684514
school,TEK30,DH - Bio,2023,0.000214225
school,TEK30,DH,2023,0.3182453573763764
retail,TEK30,DH,2023,0.3182453573763764
retail,TEK30,DH - Bio,2023,0.000214225
retail,TEK30,Electric boiler,2023,0.059684514
retail,TEK30,Electric boiler - Solar,2023,0.000249379
retail,TEK30,Electricity,2023,0.07068189
retail,TEK30,Electricity - Bio,2023,0.021674095
retail,TEK30,Gas,2023,0.001656504
retail,TEK30,HP - Electricity,2023,0.1632849356867121
retail,TEK30,HP Central heating - Bio,2023,0.000193627
retail,TEK30,HP Central heating - Electric boiler,2023,0.364043512
retail,TEK30,HP Central heating - Gas,2023,7.196160696758601e-05
office,TEK30,HP Central heating - Electric boiler,2023,0.364043512
nursing_home,TEK30,DH,2023,0.3182453573763764
office,TEK30,HP Central heating - Bio,2023,0.000193627
office,TEK30,Gas,2023,0.001656504
nursing_home,TEK30,Electric boiler,2023,0.059684514
nursing_home,TEK30,Electric boiler - Solar,2023,0.000249379
nursing_home,TEK30,Electricity,2023,0.07068189
nursing_home,TEK30,Electricity - Bio,2023,0.021674095
nursing_home,TEK30,Gas,2023,0.001656504
nursing_home,TEK30,HP - Electricity,2023,0.1632849356867121
nursing_home,TEK30,HP Central heating - Bio,2023,0.000193627
nursing_home,TEK30,HP Central heating - Electric boiler,2023,0.364043512
nursing_home,TEK30,HP Central heating - Gas,2023,7.196160696758601e-05
house,TEK30,HP - Electricity,2023,0.099294732
house,TEK30,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK30,Electricity - Bio,2023,0.2247326376682365
house,TEK30,Electricity,2023,0.052198491
house,TEK30,Electric boiler - Solar,2023,0.000300859
house,TEK30,Electric boiler,2023,0.025677593
house,TEK30,DH - Bio,2023,0.007658007
house,TEK30,DH,2023,0.021331511
sports,TEK30,DH - Bio,2023,0.000214225
office,TEK30,DH - Bio,2023,0.000214225
office,TEK30,Electric boiler,2023,0.059684514
